Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,26,Daan Hogenelst,110536 | ZAC A (31-03) - 19:30:00,1:2:54.570,0.000,34,1:45.237,12,46.284 km/h
2,77,Tijn Voerman,110536 | ZAC A (31-03) - 19:30:00,1:3:0.507,5.937,34,1:44.304,2,46.698 km/h
3,12,David van Aalst,110536 | ZAC A (31-03) - 19:30:00,1:3:6.085,11.515,34,1:43.661,10,46.988 km/h
4,20,Robin Schoew,110536 | ZAC A (31-03) - 19:30:00,1:3:24.493,29.923,34,1:44.190,2,46.749 km/h
5,16,Peter Fils,110536 | ZAC A (31-03) - 19:30:00,1:3:24.662,30.092,34,1:43.825,10,46.914 km/h
6,14,Tim Bennis,110536 | ZAC A (31-03) - 19:30:00,1:3:25.768,31.198,34,1:45.412,10,46.207 km/h
7,6,Teun Berkhout,110536 | ZAC A (31-03) - 19:30:00,1:3:25.800,31.230,34,1:45.220,10,46.292 km/h
8,23,Joost te Braake,110536 | ZAC A (31-03) - 19:30:00,1:3:26.424,31.854,34,1:43.846,10,46.904 km/h
9,11,Niels van Vliet,110536 | ZAC A (31-03) - 19:30:00,1:3:0.587,1 lap,33,1:47.267,5,45.408 km/h
10,21,Erik de Niet,110536 | ZAC A (31-03) - 19:30:00,1:3:32.430,1 lap,33,1:44.029,1,46.822 km/h
11,7,Caiden Jeurissen,110536 | ZAC A (31-03) - 19:30:00,1:3:36.950,1 lap,33,1:43.202,33,47.197 km/h
12,79,Maurits Oskam,110536 | ZAC A (31-03) - 19:30:00,1:3:37.448,1 lap,33,1:44.878,33,46.443 km/h
13,15,Mathijs Bodde,110536 | ZAC A (31-03) - 19:30:00,1:3:37.563,1 lap,33,1:44.023,33,46.824 km/h
14,35,Ernst Fidom,110536 | ZAC A (31-03) - 19:30:00,1:3:37.741,1 lap,33,1:43.758,33,46.944 km/h
15,24,Joost Slingerland,110536 | ZAC A (31-03) - 19:30:00,1:3:37.857,1 lap,33,1:46.236,33,45.849 km/h
16,28,Jan Gudde,110536 | ZAC A (31-03) - 19:30:00,1:3:38.369,1 lap,33,1:44.971,33,46.401 km/h
